iter	Passed	Remaining
424	2028	2438
425	2034	2435
426	2041	2433
427	2045	2428
428	2052	2425
429	2056	2420
430	2062	2417
431	2068	2412
432	2074	2410
433	2079	2404
434	2086	2402
435	2091	2398
436	2096	2393
437	2103	2391
438	2107	2386
439	2113	2382
440	2120	2380
441	2125	2375
442	2132	2373
443	2136	2367
444	2141	2362
445	2147	2359
446	2152	2354
447	2157	2349
448	2162	2345
449	2167	2340
450	2171	2335
451	2176	2330
452	2182	2327
453	2187	2322
454	2192	2318
455	2198	2313
456	2204	2311
457	2211	2308
458	2217	2304
459	2222	2299
460	2227	2294
461	2232	2290
462	2237	2285
463	2242	2280
464	2247	2276
465	2252	2272
466	2258	2268
467	2264	2264
468	2270	2260
469	2276	2257
470	2281	2251
471	2286	2247
472	2291	2243
473	2295	2237
474	2301	2233
475	2307	2229
476	2311	2224
477	2318	2221
478	2323	2216
479	2328	2212
480	2333	2207
481	2338	2203
482	2343	2198
483	2349	2194
484	2354	2189
485	2358	2183
486	2362	2177
487	2366	2172
488	2370	2167
489	2374	2161
490	2380	2157
491	2383	2151
492	2388	2146
493	2393	2141
494	2398	2136
495	2404	2132
496	2409	2127
497	2413	2123
498	2418	2118
499	2423	2113
500	2427	2108
501	2432	2103
502	2437	2098
503	2443	2094
504	2448	2089
505	2453	2084
506	2458	2080
507	2461	2073
508	2466	2068
509	2470	2063
510	2476	2059
511	2481	2054
512	2486	2049
513	2491	2045
514	2496	2040
515	2501	2035
516	2506	2031
517	2511	2026
518	2516	2022
519	2523	2018
520	2528	2013
521	2533	2009
522	2539	2005
523	2544	2000
524	2549	1995
525	2554	1991
526	2559	1986
527	2564	1981
528	2569	1977
529	2575	1972
530	2580	1968
531	2586	1964
532	2591	1959
533	2596	1954
534	2601	1950
535	2606	1945
536	2611	1940
537	2617	1936
538	2621	1931
539	2626	1925
540	2631	1921
541	2635	1915
542	2640	1910
543	2644	1905
544	2651	1901
545	2655	1896
546	2660	1891
547	2665	1887
548	2670	1882
549	2674	1877
550	2680	1872
551	2684	1867
552	2688	1862
553	2694	1857
554	2698	1852
555	2703	1847
556	2707	1842
557	2712	1837
558	2716	1832
559	2721	1827
560	2726	1822
561	2731	1817
562	2736	1812
563	2742	1808
564	2746	1803
565	2750	1798
566	2755	1793
567	2761	1789
568	2765	1783
569	2770	1778
570	2775	1774
571	2779	1769
572	2784	1763
573	2789	1759
574	2794	1754
575	2798	1749
576	2802	1743
577	2808	1739
578	2812	1734
579	2817	1729
580	2822	1724
581	2826	1719
582	2831	1714
583	2835	1709
584	2840	1704
585	2844	1699
586	2849	1694
587	2853	1689
588	2858	1684
589	2863	1679
590	2867	1673
591	2871	1668
592	2876	1663
593	2880	1658
594	2885	1653
595	2890	1648
596	2894	1643
597	2899	1638
598	2905	1634
599	2909	1629
600	2914	1624
601	2919	1619
602	2925	1615
603	2929	1610
604	2935	1605
605	2939	1600
606	2942	1594
607	2947	1589
608	2951	1584
609	2955	1579
610	2960	1574
611	2965	1569
612	2969	1564
613	2973	1559
614	2978	1554
615	2982	1549
616	2986	1544
617	2991	1539
618	2995	1534
619	3000	1529
620	3004	1523
621	3008	1518
622	3013	1514
623	3018	1509
624	3022	1503
625	3027	1499
626	3029	1492
627	3033	1487
628	3038	1482
629	3044	1478
630	3048	1473
631	3053	1468
632	3057	1463
633	3062	1458
634	3066	1453
635	3071	1448
636	3085	1448
637	3090	1443
638	3094	1438
639	3099	1433
640	3103	1428
641	3108	1423
642	3113	1418
643	3118	1413
644	3123	1409
645	3125	1403
646	3130	1398
647	3134	1393
648	3139	1388
649	3143	1383
650	3148	1378
651	3152	1373
652	3157	1368
653	3161	1363
654	3166	1358
655	3170	1353
656	3175	1348
657	3179	1343
658	3184	1338
659	3189	1333
660	3193	1328
661	3197	1323
662	3202	1318
663	3206	1313
664	3211	1308
665	3215	1303
666	3220	1298
667	3224	1293
668	3229	1288
669	3233	1283
670	3238	1279
671	3243	1274
672	3249	1269
673	3254	1265
674	3259	1260
675	3264	1255
676	3270	1251
677	3275	1246
678	3282	1242
679	3286	1237
680	3293	1233
681	3299	1228
682	3304	1224
683	3309	1219
684	3315	1214
685	3319	1209
686	3325	1205
687	3333	1201
688	3339	1197
689	3345	1192
690	3352	1188
691	3357	1183
692	3367	1180
693	3372	1175
694	3380	1172
695	3384	1167
696	3390	1162
697	3395	1157
698	3400	1152
699	3405	1148
700	3411	1143
701	3416	1138
702	3422	1134
703	3429	1130
704	3434	1125
705	3439	1120
706	3445	1116
707	3450	1111
708	3459	1107
709	3464	1102
710	3470	1098
711	3475	1093
712	3481	1089
713	3487	1084
714	3491	1079
715	3497	1074
716	3505	1070
717	3509	1065
718	3515	1060
719	3520	1056
720	3525	1051
721	3530	1046
722	3537	1042
723	3542	1037
724	3547	1032
725	3555	1028
726	3560	1023
727	3568	1019
728	3572	1014
729	3578	1009
730	3583	1004
731	3590	1000
732	3595	995
733	3600	990
734	3605	985
735	3610	981
736	3615	976
737	3620	971
738	3626	966
739	3630	961
740	3636	956
741	3642	952
742	3647	947
743	3653	942
744	3658	937
745	3663	933
746	3670	928
747	3675	923
748	3680	918
749	3688	914
750	3692	909
751	3697	904
752	3704	900
753	3708	895
754	3713	890
755	3734	889
756	3739	884
757	3744	879
758	3749	874
759	3754	869
760	3759	864
761	3764	859
762	3770	854
763	3774	849
764	3781	845
765	3786	840
766	3790	835
767	3795	830
768	3800	825
769	3805	820
770	3809	815
771	3815	810
772	3820	805
773	3827	801
774	3831	795
775	3835	790
776	3840	785
777	3845	780
778	3850	775
779	3854	770
780	3858	765
781	3863	760
782	3867	755
783	3871	750
784	3876	745
785	3881	740
786	3886	735
787	3891	730
788	3895	725
789	3900	720
790	3904	715
791	3910	711
792	3914	705
793	3919	700
794	3925	696
795	3929	691
796	3933	686
797	3939	681
798	3944	676
799	3948	671
800	3954	666
801	3958	661
802	3963	656
803	3967	651
804	3973	646
805	3977	641
806	3982	636
807	3988	631
808	3992	626
809	3997	621
810	4003	617
811	4008	612
812	4013	607
813	4018	602
814	4023	597
815	4028	592
816	4034	587
817	4039	582
818	4044	577
819	4051	573
820	4055	568
821	4061	563
822	4067	558
823	4072	553
824	4077	548
825	4083	543
826	4088	538
827	4094	534
828	4101	529
829	4105	524
830	4110	519
831	4118	514
832	4123	509
833	4128	504
834	4134	500
835	4139	495
836	4144	490
837	4148	485
838	4153	480
839	4157	475
840	4164	470
841	4169	465
842	4174	460
843	4179	455
844	4183	450
845	4188	445
846	4194	440
847	4199	435
848	4203	430
849	4210	425
850	4215	421
851	4220	416
852	4226	411
853	4231	406
854	4235	401
855	4240	396
856	4246	391
857	4250	386
858	4256	381
859	4262	376
860	4266	371
861	4271	366
862	4275	361
863	4280	356
864	4284	351
865	4290	346
866	4295	341
867	4299	336
868	4305	331
869	4310	326
870	4314	321
871	4320	317
872	4325	312
873	4330	307
874	4335	302
875	4340	297
876	4345	292
877	4350	287
878	4355	282
879	4359	277
880	4363	272
881	4370	267
882	4374	262
883	4378	257
884	4383	252
885	4387	247
886	4392	242
887	4396	237
888	4401	232
889	4406	227
890	4410	222
891	4415	217
892	4419	212
893	4424	207
894	4429	202
895	4434	197
896	4438	192
897	4443	188
898	4448	183
899	4453	178
900	4457	173
901	4462	168
902	4466	163
903	4471	158
904	4475	153
905	4479	148
906	4484	143
907	4489	138
908	4494	133
909	4498	128
910	4503	123
911	4508	118
912	4513	113
913	4518	108
914	4523	103
915	4528	98
916	4533	93
917	4538	88
918	4544	84
919	4549	79
920	4553	74
921	4559	69
922	4564	64
923	4569	59
924	4574	54
925	4579	49
926	4584	44
927	4588	39
928	4593	34
929	4597	29
930	4603	24
931	4607	19
932	4612	14
933	4617	9
934	4621	4
935	4626	0
